Date,Species,SiteName,SegmCode,Site,Pair,Treatm,Transect,Segment,Adults,Nimphs,Total
7/24/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-A,MRG,1,Unf,0,A,1,0,1
9/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-B,MRG,1,Unf,0,B,0,0,0
9/7/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-C,MRG,1,Unf,0,C,0,0,0
7/4/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-D,MRG,1,Unf,0,D,3,1,4
7/16/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-E,MRG,1,Unf,0,E,1,3,4
7/14/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-F,MRG,1,Unf,0,F,1,1,2
8/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-E,MRG,1,Unf,1,E,2,1,3
7/11/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-D,MRG,1,Unf,1,D,1,2,3
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-A,MRG,1,Unf,1,A,3,0,3
8/14/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-C,MRG,1,Unf,1,C,0,1,1
7/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-B,MRG,1,Unf,1,B,2,0,2
8/28/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-F,MRG,1,Unf,1,F,1,1,2
9/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-B,MRG,1,Unf,2,B,1,0,1
8/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-C,MRG,1,Unf,2,C,0,0,0
7/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-F,MRG,1,Unf,2,F,0,1,1
9/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-A,MRG,1,Unf,2,A,0,1,1
8/24/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-D,MRG,1,Unf,2,D,0,0,0
6/29/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-E,MRG,1,Unf,2,E,1,0,1
8/28/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-D,MRG,1,Unf,3,D,0,0,0
7/27/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-A,MRG,1,Unf,3,A,0,0,0
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-E,MRG,1,Unf,3,E,1,1,2
6/27/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-F,MRG,1,Unf,3,F,1,1,2
8/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-B,MRG,1,Unf,3,B,0,0,0
8/4/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-C,MRG,1,Unf,3,C,1,2,3
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-F,MRG,1,Fen,0,F,0,1,1
9/8/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-A,MRG,1,Fen,0,A,0,1,1
7/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-B,MRG,1,Fen,0,B,2,1,3
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-C,MRG,1,Fen,0,C,1,1,2
8/10/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-D,MRG,1,Fen,0,D,1,1,2
9/10/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-E,MRG,1,Fen,0,E,0,1,1
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-E,MRG,1,Fen,1,E,1,1,2
9/8/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-F,MRG,1,Fen,1,F,1,0,1
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-A,MRG,1,Fen,2,A,2,0,2
6/25/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-B,MRG,1,Fen,2,B,0,0,0
8/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-C,MRG,1,Fen,2,C,0,0,0
8/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-D,MRG,1,Fen,2,D,1,0,1
8/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-E,MRG,1,Fen,2,E,1,0,1
7/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-F,MRG,1,Fen,2,F,0,0,0
8/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-A,MRG,1,Fen,1,A,0,0,0
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-B,MRG,1,Fen,1,B,1,1,2
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-C,MRG,1,Fen,1,C,1,0,1
6/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-D,MRG,1,Fen,1,D,2,0,2
7/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-B,MRG,1,Fen,3,B,0,0,0
9/16/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-B,MRG,1,Unf,4,B,1,1,2
8/22/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-F,MRG,1,Unf,4,F,1,0,1
8/25/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-C,MRG,1,Unf,4,C,1,1,2
9/5/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-E,MRG,1,Unf,4,E,2,0,2
7/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-A,MRG,1,Unf,4,A,0,0,0
7/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-D,MRG,1,Unf,4,D,0,0,0
8/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-F,MRG,1,Fen,3,F,0,1,1
6/24/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-A,MRG,1,Fen,3,A,1,1,2
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-D,MRG,1,Fen,3,D,1,3,4
9/20/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-C,MRG,1,Fen,3,C,0,1,1
8/5/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,1,0,1
8/30/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,0,0
6/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,1,1
7/27/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-A,MRG,1,Fen,3,A,2,1,3
8/26/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,0,0
6/29/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,1,1,2
8/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,1,1
7/29/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-A,MRG,2,Fen,0,A,0,0,0
7/13/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-B,MRG,2,Fen,0,B,0,1,1
8/21/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-C,MRG,2,Fen,0,C,0,2,2
8/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-D,MRG,2,Fen,0,D,0,2,2
7/2/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-E,MRG,2,Fen,0,E,0,1,1
9/4/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-E,MRG,2,Fen,0,E,1,0,1
9/20/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-G,MRG,2,Fen,0,G,1,1,2
6/28/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-F,MRG,2,Fen,0,F,0,0,0
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-0-H,MRG,2,Fen,0,H,0,0,0
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-A,MRG,2,Fen,1,A,0,0,0
9/19/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-B,MRG,2,Fen,1,B,1,0,1
9/18/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-C,MRG,2,Fen,1,C,1,0,1
7/6/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-D,MRG,2,Fen,1,D,1,2,3
7/6/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-E,MRG,2,Fen,1,E,2,0,2
8/13/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-F,MRG,2,Fen,1,F,2,1,3
6/22/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-G,MRG,2,Fen,1,G,1,0,1
9/6/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-1-H,MRG,2,Fen,1,H,0,0,0
8/13/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-A,MRG,2,Fen,2,A,0,1,1
6/26/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-B,MRG,2,Fen,2,B,0,0,0
9/3/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-C,MRG,2,Fen,2,C,0,0,0
7/5/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-D,MRG,2,Fen,2,D,0,0,0
6/27/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-E,MRG,2,Fen,2,E,1,2,3
7/27/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-F,MRG,2,Fen,2,F,0,1,1
7/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-G,MRG,2,Fen,2,G,0,0,0
9/6/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-2-H,MRG,2,Fen,2,H,0,1,1
7/29/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-A,MRG,2,Fen,3,A,1,0,1
8/29/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-B,MRG,2,Fen,3,B,0,1,1
9/1/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-C,MRG,2,Fen,3,C,0,1,1
8/9/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-D,MRG,2,Fen,3,D,0,1,1
9/14/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-E,MRG,2,Fen,3,E,0,1,1
7/28/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-F,MRG,2,Fen,3,F,1,1,2
8/13/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-G,MRG,2,Fen,3,G,0,0,0
9/18/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-3-H,MRG,2,Fen,3,H,0,0,0
9/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-B,MRG,2,Fen,4,B,1,0,1
8/28/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-G,MRG,2,Fen,4,G,0,0,0
7/8/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-C,MRG,2,Fen,4,C,1,1,2
7/20/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-E,MRG,2,Fen,4,E,0,0,0
7/20/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-H,MRG,2,Fen,4,H,0,0,0
9/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-A,MRG,2,Fen,4,A,0,2,2
8/12/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-F,MRG,2,Fen,4,F,0,0,0
8/21/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Fen-4-D,MRG,2,Fen,4,D,1,0,1
7/30/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-A,MRG,2,Unf,0,A,0,1,1
9/1/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-B,MRG,2,Unf,0,B,1,1,2
9/14/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-C,MRG,2,Unf,0,C,1,0,1
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-D,MRG,2,Unf,0,D,0,0,0
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-E,MRG,2,Unf,0,E,0,2,2
8/10/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-F,MRG,2,Unf,0,F,0,1,1
9/16/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-G,MRG,2,Unf,0,G,0,1,1
8/17/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-0-H,MRG,2,Unf,0,H,3,2,5
9/17/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-B,MRG,2,Unf,1,B,0,0,0
8/16/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-F,MRG,2,Unf,1,F,0,0,0
8/11/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-E,MRG,2,Unf,1,E,1,0,1
6/23/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-C,MRG,2,Unf,1,C,1,1,2
7/5/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-A,MRG,2,Unf,1,A,1,0,1
9/10/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-D,MRG,2,Unf,1,D,1,0,1
9/11/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-G,MRG,2,Unf,1,G,1,0,1
7/21/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-1-H,MRG,2,Unf,1,H,1,0,1
9/17/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-E,MRG,2,Unf,2,E,1,0,1
6/23/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-D,MRG,2,Unf,2,D,1,0,1
7/19/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-C,MRG,2,Unf,2,C,0,0,0
7/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-B,MRG,2,Unf,2,B,0,0,0
6/26/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-F,MRG,2,Unf,2,F,1,1,2
7/31/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-G,MRG,2,Unf,2,G,1,0,1
9/11/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-A,MRG,2,Unf,2,A,2,0,2
7/14/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-2-H,MRG,2,Unf,2,H,0,2,2
9/6/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-D,MRG,2,Unf,3,D,0,0,0
9/11/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-E,MRG,2,Unf,3,E,1,0,1
8/17/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-B,MRG,2,Unf,3,B,3,1,4
6/29/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-A,MRG,2,Unf,3,A,0,2,2
8/31/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-C,MRG,2,Unf,3,C,0,0,0
9/13/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-F,MRG,2,Unf,3,F,3,0,3
8/14/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-G,MRG,2,Unf,3,G,0,1,1
8/19/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-3-H,MRG,2,Unf,3,H,0,0,0
7/25/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-C,MRG,2,Unf,4,C,1,0,1
8/8/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-E,MRG,2,Unf,4,E,0,1,1
7/29/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-G,MRG,2,Unf,4,G,0,0,0
7/24/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-H,MRG,2,Unf,4,H,1,0,1
7/30/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-F,MRG,2,Unf,4,F,0,1,1
8/17/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-A,MRG,2,Unf,4,A,1,1,2
8/12/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-B,MRG,2,Unf,4,B,2,1,3
9/7/25,Amblyomma americanum,Mianus River Gorge,MRG-2-Unf-4-D,MRG,2,Unf,4,D,0,0,0
7/31/25,Amblyomma americanum,Mohonk Preserve,Canaan Rd,MP,NA,NA,NA,NA,0,0,0
9/11/25,Amblyomma americanum,Mohonk Preserve,Canaan Rd,MP,NA,NA,NA,NA,0,1,1
7/14/25,Amblyomma americanum,Mohonk Preserve,Cedar Drive Loop,MP,NA,NA,NA,NA,0,1,1
9/6/25,Amblyomma americanum,Mohonk Preserve,Cedar Drive Loop,MP,NA,NA,NA,NA,1,1,2
7/24/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-A,MRG,1,Unf,0,A,0,0,0
9/19/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-B,MRG,1,Unf,0,B,0,1,1
9/7/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-C,MRG,1,Unf,0,C,2,0,2
7/4/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-D,MRG,1,Unf,0,D,0,1,1
7/16/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-E,MRG,1,Unf,0,E,0,0,0
7/14/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-0-F,MRG,1,Unf,0,F,0,0,0
8/6/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-E,MRG,1,Unf,1,E,0,2,2
7/11/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-D,MRG,1,Unf,1,D,1,0,1
7/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-A,MRG,1,Unf,1,A,0,2,2
8/14/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-C,MRG,1,Unf,1,C,1,0,1
7/23/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-B,MRG,1,Unf,1,B,0,1,1
8/28/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-1-F,MRG,1,Unf,1,F,0,2,2
9/13/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-B,MRG,1,Unf,2,B,0,0,0
8/19/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-C,MRG,1,Unf,2,C,1,1,2
7/12/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-F,MRG,1,Unf,2,F,1,0,1
9/6/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-A,MRG,1,Unf,2,A,2,3,5
8/24/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-D,MRG,1,Unf,2,D,1,0,1
6/29/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-2-E,MRG,1,Unf,2,E,1,0,1
8/28/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-D,MRG,1,Unf,3,D,1,1,2
7/27/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-A,MRG,1,Unf,3,A,0,0,0
7/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-E,MRG,1,Unf,3,E,0,0,0
6/27/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-F,MRG,1,Unf,3,F,0,4,4
8/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-B,MRG,1,Unf,3,B,0,0,0
8/4/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-3-C,MRG,1,Unf,3,C,1,0,1
9/2/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-F,MRG,1,Fen,0,F,1,0,1
9/8/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-A,MRG,1,Fen,0,A,0,1,1
7/12/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-B,MRG,1,Fen,0,B,1,0,1
7/18/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-C,MRG,1,Fen,0,C,0,1,1
8/10/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-D,MRG,1,Fen,0,D,1,0,1
9/10/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-0-E,MRG,1,Fen,0,E,1,2,3
7/18/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-E,MRG,1,Fen,1,E,0,0,0
9/8/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-F,MRG,1,Fen,1,F,0,0,0
9/2/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-A,MRG,1,Fen,2,A,0,0,0
6/25/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-B,MRG,1,Fen,2,B,0,2,2
8/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-C,MRG,1,Fen,2,C,2,2,4
8/12/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-D,MRG,1,Fen,2,D,2,0,2
8/13/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-E,MRG,1,Fen,2,E,0,0,0
7/13/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-2-F,MRG,1,Fen,2,F,0,0,0
8/19/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-A,MRG,1,Fen,1,A,0,1,1
9/2/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-B,MRG,1,Fen,1,B,1,0,1
7/18/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-C,MRG,1,Fen,1,C,0,0,0
6/23/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-1-D,MRG,1,Fen,1,D,0,0,0
7/6/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-B,MRG,1,Fen,3,B,0,0,0
9/16/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-B,MRG,1,Unf,4,B,0,1,1
8/22/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-F,MRG,1,Unf,4,F,0,0,0
8/25/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-C,MRG,1,Unf,4,C,0,0,0
9/5/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-E,MRG,1,Unf,4,E,0,0,0
7/23/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-A,MRG,1,Unf,4,A,0,1,1
7/19/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Unf-4-D,MRG,1,Unf,4,D,0,2,2
8/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-F,MRG,1,Fen,3,F,0,0,0
6/24/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-A,MRG,1,Fen,3,A,2,0,2
7/15/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-D,MRG,1,Fen,3,D,0,0,0
9/20/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-C,MRG,1,Fen,3,C,0,1,1
8/5/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,1,0,1
8/30/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,1,1,2
6/23/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,0,0
7/27/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-3-A,MRG,1,Fen,3,A,1,1,2
8/26/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,0,0,0
6/29/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,2,0,2
8/18/25,Dermacentor variabilis,Mianus River Gorge,MRG-1-Fen-4-A,MRG,1,Fen,4,A,1,1,2
7/29/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-A,MRG,2,Fen,0,A,0,1,1
7/13/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-B,MRG,2,Fen,0,B,0,0,0
8/21/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-C,MRG,2,Fen,0,C,0,1,1
8/7/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-D,MRG,2,Fen,0,D,1,0,1
7/2/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-E,MRG,2,Fen,0,E,1,0,1
9/4/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-E,MRG,2,Fen,0,E,1,1,2
9/20/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-G,MRG,2,Fen,0,G,0,0,0
6/28/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-F,MRG,2,Fen,0,F,1,0,1
7/18/25,Dermacentor variabilis,Mianus River Gorge,MRG-2-Fen-0-H,MRG,2,Fen,0,H,3,3,6
